101,THY,45,202605091530
102,Pegasus,12,202605091530
103,AnadoluJet,60,202605100900
104,SunExpress,25,202605111200
105,THY,8,202605091800
106,Pegasus,75,202605092030
107,THY,30,202605101030
108,AnadoluJet,40,202605101200
109,SunExpress,55,202605111400
110,THY,10,202605111600
111,THY,85,202605101400
112,Pegasus,15,202605101530
113,AnadoluJet,50,202605101645
114,THY,20,202605110830
115,Pegasus,65,202605110915
116,THY,5,202605111100
117,AnadoluJet,90,202605111300
118,SunExpress,35,202605120730
119,THY,70,202605120945
120,Pegasus,45,202605121200
121,THY,18,202605121430
122,AnadoluJet,80,202605130800
123,Pegasus,22,202605131015
124,THY,55,202605131300
125,SunExpress,14,202605131545
126,THY,60,202605140930
127,Pegasus,33,202605141115
128,AnadoluJet,48,202605141400
129,THY,27,202605141630
130,Pegasus,9,202605150845
